"UHH_ThetaEvolve:evolve:Total energy","UHH_ThetaEvolve:evolve:Energy calc count","UHH_ThetaEvolve:evolve:Max dm/dt","UHH_ThetaEvolve:evolve:dE/dt","UHH_ThetaEvolve:evolve:Delta E","UHH_ThetaEvolve:evolve:Temperature","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
"6.9174642128095183e-20",1,1485.71,"-2.966384213286003e-11",0,0,0,"5.8400000000000001e-20",90,90,90,0,0,0,0,0,"1.0774642128095182e-20",0,0,0,0.01,0.05,0,0,0
"6.773657597592511e-20",660,1430.789,"-5.2960953253774784e-11","-3.3349717571464862e-24",0,"-2.4623486777947529e-21","5.0657526804626909e-20",44.679,90,90,0,0,0,0,0,"1.9541397849092959e-20",500,500,0,0.01,0.065,"7.05354418753887e-08","2.100840390146186e-13","1.137243871341262e-10"
"6.626218710866664e-20",1321,1189.961,"-4.9689338087702423e-11","-3.585299829843258e-24",0,"-3.1755686182074241e-21","4.3813014919487504e-20",32.568,90,90,0,0,0,0,0,"2.5624740807386563e-20",1000,1000,0,0.01,0.103,"1.8828917719075468e-07","2.0491335339051713e-13","2.2804825892434613e-10"
"6.4899932134989659e-20",1982,1037.058,"-5.1411893376874047e-11","-2.9135021750173315e-24",0,"-4.132974278070964e-21","4.0693047092903364e-20",23.358,90,90,0,0,0,0,0,"2.8339859320157261e-20",1500,1500,0,0.01,0.14,"3.9625229220655287e-07","1.9986993107470286e-13","3.3748244752819094e-10"
"6.3790160029957632e-20",2643,1013.491,"-5.5664686323712889e-11","-1.8146946911972855e-26",0,"-5.1833627831185863e-21","3.9952454268965947e-20",26.535,90,90,0,0,0,0,0,"2.9021068544110276e-20",2000,2000,0,0.01,0.162,"6.0989168045648434e-07","1.9495063980371674e-13","4.2182318222985114e-10"
"5.8654611344054342e-20",3305,1089.708,"-2.131617907261533e-10","-1.6440157547541434e-23",0,"-5.8719949248217255e-21","4.0013694409905756e-20",25.134,90,90,"-4.7738042664951066e-21",19.105,19.105,0,0,"2.9286716125465413e-20",2500,2500,0,0.012,0.17,0.009,"9.5076212203409347e-14","4.8184197465939129e-10"
"5.4574277435776787e-20",3966,1307.189,"-7.8342631666502043e-11","-2.2414029950985861e-24",0,"-6.3867562081831399e-21","4.0988723651736664e-20",24.674,90,90,"-2.2517823520033852e-20",30,30,0,0,"4.2490133512257111e-20",3000,3000,0,0.035,0.164,0.05,"9.2736152454272459e-14","5.3274075249359716e-10"
"5.3540803986838653e-20",4627,1237.988,"-9.753256369905708e-11","-2.4883904060467107e-24",0,"-6.3924144203785284e-21","4.2066454261777118e-20",24.521,90,90,"-5.0445228283979857e-20",30,30,0,0,"6.8311992429419924e-20",3500,3500,0,0.079,0.137,0.085,"9.0453687338983913e-14","5.7975521297560651e-10"
"5.2368596350385101e-20",5288,1673.861,"-1.1648963101540242e-10","-2.513781019713318e-24",0,"-6.5577713714534888e-21","4.3636741205693801e-20",26.064,90,90,"-7.9925857910882978e-20",30,30,0,0,"9.5215484427027776e-20",4000,4000,0,0.125,0.093,0.108,"8.8227399311752694e-14","6.2362688793818671e-10"
"5.11136142931764e-20",5949,1650.706,"-1.3138970114544275e-10","-2.2593569729900976e-24",0,"-7.4918136956808185e-21","4.5578491132774716e-20",24.074,90,90,"-1.0467287954399795e-19",30,30,0,0,"1.1769981640008046e-19",4500,4500,0,0.163,0.039,0.117,"8.6055905716080674e-14","6.6394227102427714e-10"
